name,images_0_url,title,offer_price_unitPrice_value,similarity
Maiskörner,https://image.migros.ch/mo-boxed/268cd5363f8b5f3be11fe88309f207afa4a94555/m-budget-maiskoerner.jpg,M-Budget · Maiskörner,0.33,2.0
Maiskörner,https://image.migros.ch/mo-boxed/d271f997846c245902204666a73aca14dd0921dd/m-classic-maiskoerner.jpg,M-Classic · Maiskörner,0.44,2.0
Maiskörner,https://image.migros.ch/mo-boxed/15d470ba1d9e11b4bae650280a70f1f19bf1f7d6/m-classic-maiskoerner.jpg,M-Classic · Maiskörner,0.62,2.0
Maiskörner,https://image.migros.ch/mo-boxed/e5c2ff8299f8d4a128af14b085a2160a6b75ea73/migros-bio-maiskoerner-ohne-salz.jpg,Migros Bio · Maiskörner · ohne Salz,0.67,2.0
Maiskörner,https://image.migros.ch/mo-boxed/9f7dd3d2873e75953d40f029874e97812e6b7214/migros-bio-maiskoerner-ohne-salz.jpg,Migros Bio · Maiskörner · ohne Salz,0.79,2.0
Maiskörner,https://image.migros.ch/mo-boxed/a21a93e6d2ba004e56f58cbed486ceaa99e3b91f/migros-bio-maiskoerner.jpg,Migros Bio · Maiskörner,,2.0
M-Classic Maiskörner,https://image.migros.ch/mo-boxed/54305ef5cbd3710b520173495fa19e0fe08c787e/m-classic-maiskoerner.jpg,M-Classic Maiskörner,,1.1835818744602653
M-Classic Maiskörner,https://image.migros.ch/mo-boxed/27f1555365a59e78c7c22748ab6618f61ddf9a95/m-classic-maiskoerner.jpg,M-Classic Maiskörner,,1.1835818744602653
Migros Bio Maiskörner,https://image.migros.ch/mo-boxed/15cf49cc8e523ab68028704fa9371ffab77e5ce9/migros-bio-maiskoerner.jpg,Migros Bio Maiskörner,,0.9670982664383715
Mais,https://image.migros.ch/mo-boxed/35b32fe40af96d05d21ef04a5bf4934ccca0bbf7/alnatura-mais.jpg,Alnatura · Mais,0.65,0.248
